MATNR,MAKTX,MTART,MATKL,MEINS,NETPR,WAERS,WERKS,BRGEW_KG
0000900103,Up-sized leadingedge moratorium,ROH,CONSUMABLES,KG,17.8,USD,2000,71.17
0000900104,Extended interactive benchmark,FERT,MECH-PART,EA,37.03,USD,2010,1.13
0000900105,User-centric solution-oriented system engine,ROH,RAW-CHEM,KG,22.3,USD,1020,106.05
0000900106,Fully-configurable exuding alliance,FERT,RAW-CHEM,PC,12.8,USD,1000,51.73
0000900107,Organized empowering hardware,FERT,PACKAGING,PC,2.87,USD,1000,30.34
0000900108,Cross-group leadingedge capability,FERT,CONSUMABLES,EA,115.01,USD,2000,56.98
0000900109,Vision-oriented disintermediate database,HAWA,RAW-CHEM,PC,4.2,USD,2000,103.71
0000900110,User-centric optimizing solution,ROH,SERVICES,L,13.9,USD,1000,63.76
0000900111,Monitored tertiary pricing structure,DIEN,FINISHED-ASSY,AU,25.76,USD,1020,54.29
0000900112,Self-enabling interactive concept,DIEN,SERVICES,HR,26.75,USD,1010,47.72
0000900113,Seamless client-driven toolset,ROH,PACKAGING,EA,2.72,USD,1010,38.81
0000900114,Expanded demand-driven workforce,DIEN,PACKAGING,HR,4.49,USD,2000,63.89
0000900115,Centralized non-volatile hardware,FERT,SERVICES,EA,42.68,USD,2000,84.58
0000900116,Public-key even-keeled policy,FERT,SERVICES,EA,33.26,USD,1010,79.41
0000900117,Public-key composite Graphic Interface,DIEN,PACKAGING,HR,11.99,USD,1010,29.34
0000900118,Triple-buffered explicit frame,HAWA,PACKAGING,PC,36.99,USD,1000,82.76
0000900119,Re-engineered encompassing migration,ROH,PACKAGING,EA,42.85,USD,2010,80.05
0000900120,Synergistic bandwidth-monitored challenge,ROH,SERVICES,EA,8.26,USD,1000,103.98
0000900121,Versatile zero tolerance installation,DIEN,FINISHED-ASSY,AU,15.12,USD,2010,68.06
0000900122,Centralized even-keeled projection,HAWA,SERVICES,PC,18.75,USD,1020,96.95
0000900123,De-engineered tangible capacity,HAWA,ELEC-COMP,EA,70.85,USD,1020,104.27
0000900124,Fully-configurable client-server structure,FERT,FINISHED-ASSY,EA,72.06,USD,1000,44.01
0000900125,Inverse dynamic task-force,FERT,FINISHED-ASSY,EA,5.65,USD,2000,65.84
0000900126,Synergistic hybrid matrix,ROH,SERVICES,L,2.3,USD,1020,72.43
0000900127,Digitized object-oriented product,ROH,MECH-PART,L,171.59,USD,1000,45.61
0000900128,Future-proofed responsive instruction set,HAWA,FINISHED-ASSY,EA,1.57,USD,1010,13.11
0000900129,Multi-tiered local archive,FERT,FINISHED-ASSY,EA,304.92,USD,2000,57.23
0000900130,Sharable zero administration array,FERT,RAW-CHEM,EA,146.47,USD,1020,2.24
0000900131,Open-architected multimedia synergy,FERT,CONSUMABLES,PC,35.08,USD,2010,107.77
0000900132,Grass-roots system-worthy hub,FERT,MECH-PART,PC,19.93,USD,2010,74.1
0000900133,Persevering mobile Graphic Interface,ROH,SERVICES,EA,45.08,USD,2010,96.37
0000900134,Reduced 24hour time-frame,ROH,MECH-PART,L,67.37,USD,1000,117.21
0000900135,Upgradable background superstructure,HAWA,SERVICES,EA,4.36,USD,2000,21.81
0000900136,Persevering scalable secured line,ROH,MECH-PART,KG,12.66,USD,1010,110.13
0000900137,Total heuristic architecture,FERT,SERVICES,EA,34.87,USD,1000,44.85
0000900138,Public-key hybrid data-warehouse,ROH,RAW-CHEM,KG,32.21,USD,1010,25.48
0000900139,Optimized didactic methodology,ROH,MECH-PART,KG,291.63,USD,2010,108.71
0000900140,Future-proofed fresh-thinking forecast,HAWA,RAW-CHEM,PC,4.14,USD,1020,102.15
0000900141,Mandatory neutral orchestration,ROH,ELEC-COMP,L,37.06,USD,1020,74.88
0000900142,De-engineered non-volatile matrix,ROH,PACKAGING,L,6.64,USD,1000,26.05
0000900143,Mandatory systemic task-force,FERT,FINISHED-ASSY,EA,34.49,USD,1020,72.87
0000900144,Business-focused 6thgeneration attitude,ROH,FINISHED-ASSY,KG,13.29,USD,1000,118.53
0000900145,Self-enabling zero tolerance knowledgebase,FERT,FINISHED-ASSY,PC,5.44,USD,1020,53.15
0000900146,Ameliorated bottom-line complexity,FERT,RAW-CHEM,PC,77.24,USD,1010,108.67
0000900147,Organic logistical ability,HAWA,RAW-CHEM,PC,13.85,USD,2010,107.31
0000900148,Optimized dedicated solution,FERT,ELEC-COMP,EA,7.31,USD,2000,53.12
0000900149,De-engineered solution-oriented framework,HAWA,RAW-CHEM,EA,11.22,USD,2000,28.08
0000900150,Diverse even-keeled array,ROH,SERVICES,KG,35.3,USD,1010,39.99
0000900151,Streamlined high-level extranet,ROH,CONSUMABLES,L,61.37,USD,1000,119.46
0000900152,Configurable holistic secured line,FERT,MECH-PART,PC,63.77,USD,2010,21.08
0000900153,Streamlined composite application,ROH,ELEC-COMP,EA,3.4,USD,1010,11.65
0000900154,Object-based responsive function,ROH,RAW-CHEM,EA,10.92,USD,2010,14.42
0000900155,Up-sized tangible system engine,DIEN,SERVICES,AU,95.56,USD,2000,111.24
0000900156,Focused interactive projection,ROH,SERVICES,L,26.65,USD,1010,94.56
0000900157,Cross-group tertiary attitude,HAWA,FINISHED-ASSY,PC,94.61,USD,2000,93.85
0000900158,Adaptive didactic matrices,HAWA,FINISHED-ASSY,PC,10.33,USD,1020,28.72
0000900159,Compatible clear-thinking parallelism,ROH,PACKAGING,L,5.67,USD,1010,72.09
0000900160,Face-to-face multi-state software,ROH,SERVICES,KG,24.37,USD,2000,25.06
0000900161,Organic 24/7 access,DIEN,MECH-PART,HR,61.7,USD,1010,75.37
0000900162,Total global capability,ROH,PACKAGING,EA,172.71,USD,2000,98.26
0000900163,Optimized system-worthy capacity,FERT,PACKAGING,PC,32.66,USD,1020,83.41
0000900164,Polarized asynchronous emulation,FERT,ELEC-COMP,PC,25.93,USD,1000,57.55
0000900165,Networked background superstructure,FERT,CONSUMABLES,PC,29.59,USD,1000,72.77
0000900166,Customer-focused bi-directional functionalities,HAWA,ELEC-COMP,PC,24.81,USD,1000,79.97
0000900167,Multi-layered exuding challenge,FERT,FINISHED-ASSY,PC,5.79,USD,2000,16.26
0000900168,Multi-tiered zero-defect system engine,DIEN,RAW-CHEM,AU,42.89,USD,2000,52.77
0000900169,Devolved secondary service-desk,FERT,SERVICES,PC,26.03,USD,2010,2.17
0000900170,Digitized asymmetric moderator,ROH,FINISHED-ASSY,EA,5.79,USD,1010,55.2
0000900171,Re-contextualized 24/7 pricing structure,FERT,PACKAGING,PC,4.4,USD,2010,74.36
0000900172,Streamlined composite intranet,FERT,FINISHED-ASSY,EA,6.34,USD,2000,36.43
0000900173,Monitored uniform data-warehouse,FERT,RAW-CHEM,EA,18.42,USD,2000,76.0
0000900174,Self-enabling value-added collaboration,FERT,FINISHED-ASSY,PC,10.96,USD,2000,63.27
0000900175,Open-source reciprocal software,FERT,CONSUMABLES,EA,11.34,USD,2000,48.61
0000900176,Organic didactic array,ROH,SERVICES,L,37.28,USD,2010,46.48
0000900177,Cross-platform client-driven system engine,DIEN,CONSUMABLES,HR,2.25,USD,1020,50.26
0000900178,Decentralized optimizing superstructure,HAWA,CONSUMABLES,EA,168.03,USD,1000,38.85
0000900179,Networked grid-enabled interface,HAWA,FINISHED-ASSY,EA,58.76,USD,2010,96.19
0000900180,Intuitive client-driven encryption,DIEN,RAW-CHEM,AU,8.22,USD,2010,101.33
0000900181,Grass-roots secondary artificial intelligence,FERT,MECH-PART,PC,23.71,USD,2000,103.77
0000900182,Fully-configurable neutral policy,FERT,FINISHED-ASSY,PC,81.51,USD,2010,55.16
0000900183,Right-sized uniform portal,HAWA,FINISHED-ASSY,EA,44.09,USD,1000,12.3
0000900184,Horizontal zero-defect solution,ROH,MECH-PART,L,19.74,USD,2000,93.75
0000900185,Assimilated stable framework,HAWA,CONSUMABLES,PC,16.16,USD,1020,54.04
0000900186,Expanded multi-state portal,FERT,FINISHED-ASSY,EA,21.41,USD,2010,88.51
0000900187,Profound content-based synergy,ROH,FINISHED-ASSY,KG,71.79,USD,1000,89.56
0000900188,Object-based explicit project,ROH,ELEC-COMP,KG,21.43,USD,2000,88.51
0000900189,Business-focused zero tolerance utilization,FERT,SERVICES,PC,27.21,USD,1020,116.49
0000900190,Front-line modular info-mediaries,DIEN,MECH-PART,AU,12.53,USD,2010,79.25
0000900191,Customizable disintermediate methodology,HAWA,MECH-PART,PC,91.28,USD,2000,107.87
0000900192,Sharable radical archive,HAWA,ELEC-COMP,EA,9.51,USD,1000,63.66
0000900193,Progressive 24/7 hierarchy,FERT,MECH-PART,PC,9.31,USD,2010,15.07
0000900194,Intuitive clear-thinking info-mediaries,ROH,CONSUMABLES,L,23.56,USD,1020,5.3
0000900195,Re-contextualized intangible hierarchy,FERT,MECH-PART,EA,8.03,USD,1000,44.69
0000900196,Quality-focused systemic conglomeration,FERT,SERVICES,PC,235.53,USD,2000,14.62
0000900197,Virtual methodical throughput,FERT,SERVICES,EA,7.29,USD,2010,34.34
0000900198,Compatible 3rdgeneration parallelism,HAWA,FINISHED-ASSY,PC,20.41,USD,2010,117.41
0000900199,Cloned 24/7 firmware,HAWA,SERVICES,EA,33.48,USD,2000,6.51
0000900200,Extended 6thgeneration approach,FERT,RAW-CHEM,EA,9.86,USD,2010,19.82
0000900201,Object-based motivating forecast,FERT,CONSUMABLES,PC,66.7,USD,1020,115.82
0000900202,Self-enabling transitional middleware,ROH,SERVICES,EA,15.38,USD,2010,70.86
0000900203,Visionary intangible interface,ROH,CONSUMABLES,L,8.72,USD,1020,18.23
0000900204,Total impactful artificial intelligence,FERT,FINISHED-ASSY,EA,73.86,USD,1010,66.99
0000900205,Sharable national monitoring,HAWA,RAW-CHEM,EA,30.74,USD,1020,119.02
0000900206,Seamless coherent focus group,FERT,PACKAGING,EA,101.17,USD,1010,89.09
0000900207,Configurable fault-tolerant artificial intelligence,HAWA,PACKAGING,EA,15.41,USD,1010,42.68
0000900208,Profound demand-driven workforce,HAWA,MECH-PART,PC,21.17,USD,2000,89.5
0000900209,Distributed national Graphic Interface,FERT,MECH-PART,EA,24.93,USD,1000,81.42
0000900210,Object-based optimizing productivity,HAWA,PACKAGING,EA,21.83,USD,1010,44.23
0000900211,Virtual solution-oriented software,FERT,RAW-CHEM,PC,94.08,USD,1020,16.58
0000900212,Stand-alone asymmetric function,ROH,ELEC-COMP,EA,15.52,USD,2000,61.24
0000900213,Total intermediate superstructure,HAWA,FINISHED-ASSY,PC,6.69,USD,1010,67.4
0000900214,Front-line analyzing encryption,ROH,MECH-PART,EA,147.53,USD,2000,99.01
0000900215,Cross-group intermediate budgetary management,ROH,SERVICES,EA,70.25,USD,2010,89.52
0000900216,Persevering reciprocal portal,DIEN,PACKAGING,HR,45.09,USD,2010,17.74
0000900217,Centralized fault-tolerant secured line,FERT,CONSUMABLES,EA,14.25,USD,1010,44.6
0000900218,User-centric stable support,FERT,ELEC-COMP,PC,48.4,USD,2010,20.86
0000900219,Enhanced bottom-line access,ROH,RAW-CHEM,EA,52.88,USD,1020,82.33
0000900220,Triple-buffered client-driven standardization,DIEN,MECH-PART,HR,62.5,USD,2010,22.18
0000900221,Advanced cohesive methodology,FERT,MECH-PART,EA,64.28,USD,2010,84.05
0000900222,Monitored multi-state model,ROH,PACKAGING,KG,155.68,USD,1020,112.88
0000900223,Up-sized empowering concept,FERT,SERVICES,PC,55.06,USD,1020,45.26
0000900224,Multi-layered clear-thinking synergy,ROH,FINISHED-ASSY,L,1.24,USD,1010,9.72
0000900225,Vision-oriented encompassing superstructure,HAWA,MECH-PART,EA,10.18,USD,1000,93.64
0000900226,Decentralized zero administration algorithm,FERT,RAW-CHEM,PC,18.14,USD,1000,114.8
0000900227,Managed interactive flexibility,FERT,RAW-CHEM,PC,8.17,USD,2000,33.12
0000900228,Progressive asymmetric firmware,FERT,ELEC-COMP,EA,7.57,USD,2000,18.81
0000900229,Universal object-oriented product,HAWA,PACKAGING,PC,2.91,USD,1010,108.78
0000900230,Compatible modular knowledgebase,FERT,CONSUMABLES,PC,1.7,USD,1010,87.91
0000900231,Profound high-level approach,ROH,CONSUMABLES,EA,64.87,USD,2010,6.32
0000900232,Proactive non-volatile concept,FERT,MECH-PART,EA,64.91,USD,1010,17.44
0000900233,Multi-layered cohesive extranet,HAWA,FINISHED-ASSY,PC,8.93,USD,1000,55.7
0000900234,Visionary bi-directional orchestration,DIEN,ELEC-COMP,AU,4.15,USD,1010,86.41
0000900235,Synergistic uniform budgetary management,FERT,ELEC-COMP,EA,88.34,USD,1000,62.83
0000900236,Focused user-facing migration,FERT,ELEC-COMP,EA,39.32,USD,1000,65.25
0000900237,Adaptive 6thgeneration access,FERT,SERVICES,PC,52.58,USD,1000,51.46
0000900238,Fully-configurable 6thgeneration leverage,FERT,MECH-PART,PC,7.12,USD,1020,78.13
0000900239,Multi-lateral human-resource collaboration,ROH,CONSUMABLES,L,50.16,USD,2000,42.75
0000900240,Enhanced 5thgeneration neural-net,DIEN,CONSUMABLES,AU,24.17,USD,2000,65.4
0000900241,Universal user-facing projection,HAWA,RAW-CHEM,PC,121.89,USD,2010,79.17
0000900242,Operative directional Graphic Interface,FERT,ELEC-COMP,EA,139.89,USD,1010,7.87
0000900243,Fully-configurable intangible success,ROH,RAW-CHEM,KG,37.26,USD,1010,59.76
0000900244,Intuitive encompassing archive,FERT,MECH-PART,EA,76.88,USD,1020,52.96
0000900245,Re-engineered holistic capability,FERT,RAW-CHEM,PC,42.78,USD,2000,95.15
0000900246,Profit-focused systematic application,ROH,CONSUMABLES,EA,90.65,USD,1010,19.0
0000900247,Enhanced directional website,ROH,RAW-CHEM,L,44.27,USD,1020,43.6
0000900248,Programmable 6thgeneration initiative,HAWA,RAW-CHEM,EA,25.28,USD,2010,87.93
0000900249,Cloned maximized forecast,HAWA,FINISHED-ASSY,PC,5.98,USD,1020,105.9
0000900250,Vision-oriented fault-tolerant Graphic Interface,HAWA,CONSUMABLES,EA,43.53,USD,2010,80.17
0000900251,Cross-group neutral knowledgebase,ROH,RAW-CHEM,L,24.69,USD,1010,51.33
0000900252,Advanced holistic customer loyalty,FERT,ELEC-COMP,PC,25.43,USD,1000,98.76
0000900253,Implemented non-volatile toolset,FERT,SERVICES,EA,18.29,USD,1020,22.53
0000900254,Innovative user-facing process improvement,HAWA,PACKAGING,PC,29.53,USD,2000,118.57
0000900255,Fully-configurable maximized hub,DIEN,RAW-CHEM,HR,104.52,USD,1000,42.97
0000900256,Reverse-engineered modular throughput,ROH,MECH-PART,KG,14.18,USD,2000,99.13
0000900257,Vision-oriented dedicated superstructure,FERT,FINISHED-ASSY,EA,73.11,USD,2000,108.65
0000900258,Quality-focused well-modulated utilization,HAWA,CONSUMABLES,PC,40.13,USD,1000,100.98
0000900259,Fully-configurable coherent ability,ROH,CONSUMABLES,EA,6.45,USD,1020,3.78
0000900260,Open-source 4thgeneration emulation,HAWA,RAW-CHEM,EA,17.3,USD,1000,78.65
0000900261,Quality-focused grid-enabled productivity,DIEN,CONSUMABLES,AU,11.67,USD,1020,83.31
0000900262,Team-oriented 24/7 groupware,ROH,PACKAGING,KG,8.16,USD,2010,49.03
0000900263,Adaptive well-modulated protocol,HAWA,RAW-CHEM,PC,11.64,USD,1000,91.94
0000900264,Multi-tiered user-facing superstructure,HAWA,ELEC-COMP,PC,6.47,USD,1020,0.07
0000900265,Integrated bi-directional database,FERT,MECH-PART,PC,61.42,USD,2000,45.82
0000900266,Progressive disintermediate instruction set,FERT,PACKAGING,PC,103.37,USD,1000,5.09
0000900267,Pre-emptive analyzing circuit,HAWA,MECH-PART,PC,16.2,USD,1000,35.1
0000900268,Universal even-keeled array,DIEN,RAW-CHEM,AU,55.3,USD,1000,36.6
0000900269,Balanced discrete model,HAWA,RAW-CHEM,EA,48.27,USD,2000,13.55
0000900270,Open-source tangible hub,HAWA,SERVICES,EA,9.01,USD,1000,56.28
0000900271,Persevering value-added artificial intelligence,FERT,PACKAGING,EA,27.14,USD,1020,27.2
0000900272,Reduced bandwidth-monitored middleware,HAWA,RAW-CHEM,PC,11.93,USD,1010,80.15
0000900273,Devolved scalable infrastructure,ROH,ELEC-COMP,EA,28.89,USD,2010,100.59
0000900274,Compatible optimizing open system,FERT,SERVICES,PC,4.1,USD,2010,62.6
0000900275,Centralized intermediate protocol,FERT,RAW-CHEM,EA,14.22,USD,1020,58.63
0000900276,De-engineered disintermediate frame,HAWA,PACKAGING,EA,13.95,USD,1010,105.48
0000900277,Fundamental foreground website,ROH,FINISHED-ASSY,EA,25.29,USD,2000,109.29
0000900278,Object-based tangible support,ROH,RAW-CHEM,KG,16.0,USD,2010,75.78
0000900279,Inverse foreground knowledge user,ROH,FINISHED-ASSY,EA,9.27,USD,2000,81.19
0000900280,Future-proofed discrete archive,FERT,PACKAGING,PC,54.6,USD,2000,114.07
0000900281,Exclusive client-driven time-frame,ROH,CONSUMABLES,KG,11.69,USD,1000,32.31
0000900282,Visionary optimal benchmark,FERT,PACKAGING,PC,27.57,USD,1020,33.25
0000900283,Distributed bi-directional concept,DIEN,FINISHED-ASSY,AU,14.64,USD,1000,74.72
0000900284,Organized maximized functionalities,ROH,ELEC-COMP,KG,5.95,USD,2010,0.71
0000900285,Open-source bottom-line monitoring,FERT,SERVICES,PC,1.36,USD,1020,101.28
0000900286,Multi-channeled zero administration database,FERT,SERVICES,PC,1.78,USD,1020,5.37
0000900287,Organized fault-tolerant Local Area Network,FERT,FINISHED-ASSY,EA,5.03,USD,1000,98.19
0000900288,Fundamental bottom-line array,ROH,CONSUMABLES,KG,30.41,USD,1020,5.43
0000900289,Diverse systemic framework,ROH,CONSUMABLES,L,73.09,USD,2010,47.38
0000900290,Triple-buffered tangible portal,FERT,FINISHED-ASSY,EA,61.22,USD,2000,80.97
0000900291,Balanced didactic Graphic Interface,FERT,MECH-PART,EA,20.09,USD,2000,98.55
